scenario_id,step,sim_time,contention_score_v2,priority_skew,kv_pressure,queue_length,stage1_raw_regime,a_active,b_active_v2,c_active,effective_regime,dwell_switched_this_step,fallback_active,stage2_regime,selected_policy,admitted_count,admitted_request_ids,prefill_chunk_override_active,queue_len_after_admission,active_count_after_admission,mean_kv_utilization_after_admission,canonical_scenario_id
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,0,0.0,0.0,1.0,0.0,0.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,0,[],False,0,0,0.0,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,1,0.001,0.0,1.0,0.0,1.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,1,[0],False,0,1,0.00059625,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,2,0.002,0.0,1.0,6.4e-05,0.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,0,[],False,0,1,6.4e-05,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,3,0.003,0.0,1.0,0.000128,0.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,0,[],False,0,1,0.000128,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,4,0.004,0.0,1.0,0.000192,1.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,1,[1],False,0,2,0.000714125,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,5,0.005,0.0,1.0,0.000256,0.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,0,[],False,0,2,0.000256,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,6,0.006,0.0,1.0,0.00032,0.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,0,[],False,0,2,0.00032,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,7,0.007,0.0,1.0,0.000384,1.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,1,[2],False,0,3,0.0009955,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,8,0.008,0.0,1.0,0.000448,0.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,0,[],False,0,3,0.000448,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,9,0.009000000000000001,0.0,1.0,0.000512,0.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,0,[],False,0,3,0.000512,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,10,0.01,0.0,1.0,0.000576,1.0,NONE,False,False,False,NONE,False,True,,weighted_fair_share,1,[3],False,0,4,0.00109875,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,11,0.011,0.25,1.0,0.00064,0.0,PREFILL_DECODE_CONTENTION,False,True,False,NONE,False,True,,weighted_fair_share,0,[],False,0,4,0.00064,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,12,0.012,0.25,1.0,0.000704,0.0,PREFILL_DECODE_CONTENTION,False,True,False,NONE,False,True,,weighted_fair_share,0,[],False,0,4,0.000704,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820
