reserve,source_dataset,window_index,axis,condition_id,decision_states,disagreement_states,P_D
0.82,azure_2023_conv,10,active_sequence_capacity,active_4,33479,4,0.00011947788165715822
0.82,azure_2023_conv,11,active_sequence_capacity,active_4,29553,11,0.00037221263492708017
0.82,azure_2023_conv,13,active_sequence_capacity,active_4,25282,1,3.955383276639507e-05
0.82,azure_2023_conv,14,active_sequence_capacity,active_4,28745,1,3.478865889719951e-05
0.82,azure_2023_conv,15,active_sequence_capacity,active_4,29368,3,0.00010215200217924271
0.82,azure_2023_conv,17,active_sequence_capacity,active_4,26733,0,0.0
0.82,azure_2023_conv,18,active_sequence_capacity,active_4,25939,2,7.71039747098963e-05
0.82,azure_2023_conv,19,active_sequence_capacity,active_4,27814,0,0.0
0.82,azure_2023_conv,21,active_sequence_capacity,active_4,30758,3,9.753560049418038e-05
0.82,azure_2023_conv,22,active_sequence_capacity,active_4,34165,2,5.853944094833894e-05
0.82,azure_2023_conv,23,active_sequence_capacity,active_4,32093,5,0.0001557972143458075
0.82,azure_2023_conv,25,active_sequence_capacity,active_4,26117,2,7.657847379101735e-05
0.82,azure_2023_conv,26,active_sequence_capacity,active_4,31081,1,3.2173996975644285e-05
0.82,azure_2023_conv,1,kv_capacity,kv_16000,33674,0,0.0
0.82,azure_2023_conv,2,kv_capacity,kv_16000,30636,0,0.0
0.82,azure_2023_conv,3,kv_capacity,kv_16000,26422,0,0.0
0.82,azure_2023_conv,5,kv_capacity,kv_16000,26856,0,0.0
0.82,azure_2023_conv,6,kv_capacity,kv_16000,28732,0,0.0
0.82,azure_2023_conv,7,kv_capacity,kv_16000,32428,0,0.0
0.82,azure_2023_conv,9,kv_capacity,kv_16000,33440,0,0.0
0.82,azure_2023_conv,10,kv_capacity,kv_16000,33479,0,0.0
0.82,azure_2023_conv,11,kv_capacity,kv_16000,29443,0,0.0
0.82,azure_2023_conv,13,kv_capacity,kv_16000,25282,0,0.0
0.82,azure_2023_conv,14,kv_capacity,kv_16000,28745,0,0.0
0.82,azure_2023_conv,15,kv_capacity,kv_16000,28984,0,0.0
0.82,azure_2023_conv,17,kv_capacity,kv_16000,26730,0,0.0
0.82,azure_2023_conv,18,kv_capacity,kv_16000,25766,93,0.003609407746642863
0.82,azure_2023_conv,19,kv_capacity,kv_16000,27774,0,0.0
0.82,azure_2023_conv,21,kv_capacity,kv_16000,30750,0,0.0
0.82,azure_2023_conv,22,kv_capacity,kv_16000,34091,0,0.0
0.82,azure_2023_conv,23,kv_capacity,kv_16000,31953,0,0.0
0.82,azure_2023_conv,25,kv_capacity,kv_16000,26052,0,0.0
0.82,azure_2023_conv,26,kv_capacity,kv_16000,30939,0,0.0
0.9,azure_2023_code,1,active_sequence_capacity,active_8,4241,0,0.0
0.9,azure_2023_code,3,active_sequence_capacity,active_8,7174,0,0.0
0.9,azure_2023_code,5,active_sequence_capacity,active_8,5109,0,0.0
0.9,azure_2023_code,7,active_sequence_capacity,active_8,4521,3,0.0006635700066357001
0.9,azure_2023_code,9,active_sequence_capacity,active_8,6669,0,0.0
0.9,azure_2023_code,11,active_sequence_capacity,active_8,2696,7,0.0025964391691394658
0.9,azure_2023_code,13,active_sequence_capacity,active_8,4236,0,0.0
0.9,azure_2023_code,15,active_sequence_capacity,active_8,5048,0,0.0
0.9,azure_2023_code,17,active_sequence_capacity,active_8,4705,0,0.0
0.9,azure_2023_code,19,active_sequence_capacity,active_8,4619,0,0.0
0.9,azure_2023_code,21,active_sequence_capacity,active_8,4330,0,0.0
0.9,azure_2023_code,23,active_sequence_capacity,active_8,4877,0,0.0
0.9,azure_2023_code,25,active_sequence_capacity,active_8,4974,0,0.0
0.9,azure_2023_code,27,active_sequence_capacity,active_8,4066,0,0.0
0.9,azure_2023_code,29,active_sequence_capacity,active_8,4974,0,0.0
0.9,azure_2023_code,31,active_sequence_capacity,active_8,4529,0,0.0
0.9,azure_2023_code,33,active_sequence_capacity,active_8,4087,0,0.0
0.9,azure_2023_code,35,active_sequence_capacity,active_8,3992,0,0.0
0.9,azure_2023_code,37,active_sequence_capacity,active_8,5462,0,0.0
0.9,azure_2023_code,39,active_sequence_capacity,active_8,4098,0,0.0
0.9,azure_2023_code,1,active_sequence_capacity,active_4,4241,3,0.0007073803348266918
0.9,azure_2023_code,3,active_sequence_capacity,active_4,7174,0,0.0
0.9,azure_2023_code,5,active_sequence_capacity,active_4,5109,8,0.0015658641612840086
0.9,azure_2023_code,7,active_sequence_capacity,active_4,4540,14,0.0030837004405286344
0.9,azure_2023_code,9,active_sequence_capacity,active_4,6669,0,0.0
0.9,azure_2023_code,11,active_sequence_capacity,active_4,2772,51,0.0183982683982684
0.9,azure_2023_code,13,active_sequence_capacity,active_4,4237,0,0.0
0.9,azure_2023_code,15,active_sequence_capacity,active_4,5067,2,0.00039471087428458656
0.9,azure_2023_code,17,active_sequence_capacity,active_4,4705,0,0.0
0.9,azure_2023_code,19,active_sequence_capacity,active_4,4619,0,0.0
0.9,azure_2023_code,21,active_sequence_capacity,active_4,4340,7,0.0016129032258064516
0.9,azure_2023_code,23,active_sequence_capacity,active_4,4880,4,0.000819672131147541
0.9,azure_2023_code,25,active_sequence_capacity,active_4,4983,3,0.0006020469596628537
0.9,azure_2023_code,27,active_sequence_capacity,active_4,4073,2,0.0004910385465259023
